,product_id,quantity,gmv,item_price
184,P2482,12,6240000,520000
185,P2485,6,6270000,1045000
186,P2487,6,6270000,1045000
187,P2489,170,160730000,1045000
188,P2492,5,5225000,1045000
189,P2494,13,13585000,1045000
190,P2501,5,11700000,2340000
191,P2507,1,1465000,1465000
192,P2508,3,6075000,2025000
193,P2517,2,5274000,2637000
194,P2518,1,2025000,2025000
195,P2519,3,13161000,4387000
196,P2521,3,5235000,1745000
197,P2533,5,1550000,310000
198,P2535,4,2080000,520000
199,P2537,3,237000,79000
200,P2539,144,11376000,79000
201,P2546,3,7335000,2445000
202,P2555,2,1808000,904000
203,P2557,12,1908000,159000
204,P2558,36,2844000,79000
205,P2559,72,5688000,79000
206,P2560,36,2844000,79000
207,P2566,12,7080000,590000
208,P2569,12,13968000,1164000
209,P2570,9,6660000,740000
210,P2575,26,13520000,520000
211,P2576,6,14250000,2375000
212,P2577,12,480000,40000
213,P2578,24,10800000,450000
214,P2582,1,1185000,1185000
215,P2587,1,1045000,1045000
216,P2600,5,5225000,1045000
217,P2606,2,900000,450000
218,P2625,31,13950000,450000
219,P2632,2,2916000,1458000
220,P2636,3,2344000,877000
221,P2656,2,480000,240000
222,P2666,1,1045000,1045000
223,P2677,1,1045000,1045000
224,P2701,25,3975000,159000
225,P2702,2,298000,149000
226,P2712,25,3975000,159000
227,P2714,2,2090000,1045000
228,P2715,84,77628000,1045000
229,P2721,6,4170000,695000
230,P2756,48,7632000,159000
231,P2760,25,14750000,590000
232,P2761,15,8850000,590000
233,P2762,2,1180000,590000
234,P2763,20,11800000,590000
235,P2764,24,14160000,590000
236,P2765,36,16200000,450000
237,P2766,24,10800000,450000
238,P2767,12,5400000,450000
239,P2770,216,181512000,747000
240,P2771,4,1800000,450000
241,P2774,1,450000,450000
242,P2779,3,909000,303000
243,P2781,4,2080000,520000
244,P2783,24,13320000,555000
245,P2789,100,2600000,26000
246,P2790,185,52750000,310000
247,P2792,3,2241000,747000
248,P2793,19,14193000,747000
249,P2803,1,6312000,6312000
250,P2804,2,2650000,1325000
251,P2806,12,8880000,740000
252,P2807,4,2360000,590000
253,P2812,6,3540000,590000
254,P2813,3,2241000,747000
255,P2814,12,3636000,303000
256,P2827,41,18450000,450000
257,P3120,1,310000,310000
258,P3128,26,17622000,450000
259,P3130,12,1740000,145000
260,P3132,24,41880000,1745000
261,P3180,4,9500000,2375000
262,P3183,21,5040000,240000
263,P3184,2,480000,240000
264,P3185,30,7200000,240000
265,P3187,28,6720000,240000
266,P3189,3,477000,159000
267,P3191,5,795000,159000
268,P3192,5,795000,159000
269,P3193,13,15010000,1150000
270,P3194,12,13800000,1150000
271,P3195,12,3720000,310000
272,P3197,6,14558000,2767000
273,P3203,34,15300000,450000
274,P3206,32,14400000,450000
275,P3208,12,8340000,695000
276,P3215,6,7950000,1325000
277,P3216,14,18550000,1325000
278,P3217,4,5300000,1325000
279,P3218,24,33480000,1395000
280,P3220,9,6255000,695000
281,P3222,5,11000000,2200000
282,P3224,1,303000,303000
283,P3227,8,2424000,303000
284,P3230,12,8340000,695000
285,P3238,8,4160000,520000
286,P3239,6,3120000,520000
287,P3240,12,6996000,583000
288,P3241,1,289000,289000
289,P3243,9,11533000,1150000
290,P3245,6,2700000,450000
291,P3247,3,10482000,3494000
292,P3249,3,2241000,747000
293,P3250,32,9920000,310000
294,P3252,27,4023000,149000
295,P3255,1,1745000,1745000
296,P3256,11,19195000,1745000
297,P3260,18,8100000,450000
298,P3261,6,4885000,696500
299,P3264,6,2700000,450000
300,P3266,12,20940000,1745000
301,P3267,113,43746000,450000
302,P3268,1,450000,450000
303,P3269,21,9450000,450000
304,P3270,15,6750000,450000
305,P3276,2,2068000,1034000
306,P3277,1,1034000,1034000
307,P3279,2,1040000,520000
308,P3285,4,5300000,1325000
309,P3289,12,8880000,740000
310,P3292,6,8790000,1465000
311,P3295,8,11720000,1465000
312,P3296,6,8790000,1465000
313,P3297,4,3616000,904000
314,P3299,1,904000,904000
315,P3300,3,1482000,596500
316,P3302,6,5424000,904000
317,P3303,1,904000,904000
318,P3304,17,7650000,450000
319,P3308,14,6300000,450000
320,P3310,60,44400000,740000
321,P3311,26,19240000,740000
322,P3314,1,450000,450000
323,P3319,1,873000,873000
324,P3323,12,8880000,740000
325,P3327,12,12288000,1024000
326,P3328,136,36216000,283500
327,P3329,28,43590000,1325000
328,P3330,5,6975000,1395000
329,P3331,3,1350000,450000
330,P3334,12,12540000,1045000
331,P3335,1,1045000,1045000
332,P3336,6,6270000,1045000
333,P3338,5,2250000,450000
334,P3341,4,820000,205000
335,P3342,2,410000,205000
336,P3344,8,4160000,520000
337,P3345,12,6240000,520000
338,P3347,20,6200000,310000
339,P3349,1,1045000,1045000
340,P3352,8,13960000,1745000
341,P3357,7,3150000,450000
342,P3360,7,9233000,1741500
343,P3372,1,1500000,1500000
344,P3374,5,7500000,1500000
345,P3379,1,450000,450000
346,P3383,1,3494000,3494000
347,P3389,12,3300000,275000
348,P3391,38,35198000,1045000
349,P3395,24,1896000,79000
350,P3408,24,5760000,240000
351,P3409,13,4030000,310000
352,P3410,1,747000,747000
353,P3428,64,28800000,450000
354,P3438,1,4373000,4373000
355,P3441,12,1356000,113000
356,P3442,76,39800000,555000
357,P3454,6,2298000,383000
358,P3462,25,7575000,303000
359,P3475,20,9000000,450000
360,P3479,10,5200000,520000
361,P3481,9,15705000,1745000
362,P3483,11,6490000,590000
363,P3487,25,3975000,159000
364,P3495,3,1770000,590000
365,P3496,36,18720000,520000
366,P3497,6,516000,86000
367,P3502,12,3636000,303000
368,P3503,1,159000,159000
369,P3504,24,3816000,159000
370,P3510,4,2988000,747000
371,P3514,2,318000,159000
372,P3515,3,930000,310000
373,P3516,32,9920000,310000
374,P3517,6,12150000,2025000
375,P3521,40,6360000,159000
376,P3532,8,4391000,446500
377,P3533,12,3720000,310000
378,P3534,234,43758000,187000
379,P3537,2,3490000,1745000
380,P3539,8,8360000,1045000
381,P3546,15,8850000,590000
382,P3557,1,695000,695000
383,P3561,4,4180000,1045000
384,P3574,1,450000,450000
385,P3581,1,873000,873000
386,P3587,50,7950000,159000
387,P3588,18,12510000,695000
388,P3589,4,5860000,1465000
389,P3591,8,5920000,740000
390,P3592,1,1745000,1745000
391,P3596,68,100460000,1465000
392,P3602,6,4170000,695000
393,P3604,12,5400000,450000
394,P3612,1,590000,590000
395,P3614,7,3150000,450000
396,P3616,12,2880000,240000
397,P3620,1,4387000,4387000
398,P3630,1,450000,450000
399,P3635,3,5244000,1748000
400,P3637,2,900000,450000
401,P3642,1,904000,904000
402,P3647,2,1808000,904000
403,P3653,2,298000,149000
404,P3655,12,1908000,159000
405,P3659,3,4395000,1465000
406,P3665,6,14250000,2375000
407,P3666,1,3494000,3494000
408,P3931,6,12570000,2095000
409,P3933,1,2445000,2445000
410,P3939,1,1325000,1325000
411,P3940,2,4190000,2095000
412,P3941,1,1325000,1325000
413,P3946,1,1745000,1745000
414,P3948,6,12570000,2095000
415,P3950,1,1325000,1325000
416,P3951,8,16760000,2095000
417,P3952,6,10470000,1745000
418,P3956,2,1494000,747000
419,P3958,4,2080000,520000
420,P4005,6,6270000,1045000
421,P4009,156,149484000,1045000
422,P4012,8,8192000,1024000
423,P4013,1,590000,590000
424,P4015,24,7440000,310000
425,P4020,34,15300000,450000
426,P4025,3,4500000,1500000
427,P4027,14,7280000,520000
428,P4040,8,5976000,747000
429,P4045,1,3494000,3494000
430,P4049,17,12699000,747000
431,P4050,2,1390000,695000
432,P4051,5,1095000,219000
433,P4054,1,2760000,2760000
434,P4057,11,26895000,2445000
435,P4058,1,10495000,10495000
436,P4059,2,5590000,2795000
437,P4061,1,303000,303000
438,P4067,30,83850000,2795000
439,P4068,1,3144000,3144000
440,P4069,26,11700000,450000
441,P4070,1,8748000,8748000
442,P4071,5,5225000,1045000
443,P4073,25,2825000,113000
444,P4074,9,13500000,1500000
445,P4075,12,12540000,1045000
446,P4077,4,18654000,3494000
447,P4078,60,35400000,590000
448,P4080,108,12204000,113000
449,P4081,75,8475000,113000
450,P4082,6,12570000,2095000
451,P4086,10,3100000,310000
452,P4100,246,27798000,113000
453,P4109,25,3975000,159000
454,P4113,25,3975000,159000
455,P4115,25,3975000,159000
456,P4116,25,3975000,159000
457,P4120,75,11925000,159000
458,P4125,50,7950000,159000
459,P4135,25,3975000,159000
460,P4137,25,3975000,159000
461,P4144,25,3975000,159000
